,Unicode,Character
1195,\u52AA,努
1196,\u52AB,劫
1197,\u52AC,劬
1198,\u52AD,劭
1199,\u52AE,劮
1200,\u52AF,劯
1201,\u52B0,劰
1202,\u52B1,励
1203,\u52B2,劲
1204,\u52B3,劳
1205,\u52B4,労
1206,\u52B5,劵
1207,\u52B6,劶
1208,\u52B7,劷
1209,\u52B8,劸
1210,\u52B9,効
1211,\u52BA,劺
1212,\u52BB,劻
1213,\u52BC,劼
1214,\u52BD,劽
1215,\u52BE,劾
1216,\u52BF,势
1217,\u52C0,勀
1218,\u52C1,勁
1219,\u52C2,勂
1220,\u52C3,勃
1221,\u52C4,勄
1222,\u52C5,勅
1223,\u52C6,勆
1224,\u52C7,勇
1225,\u52C8,勈
1226,\u52C9,勉
1227,\u52CA,勊
1228,\u52CB,勋
1229,\u52CC,勌
1230,\u52CD,勍
1231,\u52CE,勎
1232,\u52CF,勏
1233,\u52D0,勐
1234,\u52D1,勑
1235,\u52D2,勒
1236,\u52D3,勓
1237,\u52D4,勔
1238,\u52D5,動
1239,\u52D6,勖
1240,\u52D7,勗
1241,\u52D8,勘
1242,\u52D9,務
1243,\u52DA,勚
1244,\u52DB,勛
1245,\u52DC,勜
1246,\u52DD,勝
1247,\u52DE,勞
1248,\u52DF,募
1249,\u52E0,勠
1250,\u52E1,勡
1251,\u52E2,勢
1252,\u52E3,勣
1253,\u52E4,勤
1254,\u52E5,勥
1255,\u52E6,勦
1256,\u52E7,勧
1257,\u52E8,勨
1258,\u52E9,勩
1259,\u52EA,勪
1260,\u52EB,勫
1261,\u52EC,勬
1262,\u52ED,勭
1263,\u52EE,勮
1264,\u52EF,勯
1265,\u52F0,勰
1266,\u52F1,勱
1267,\u52F2,勲
1268,\u52F3,勳
1269,\u52F4,勴
1270,\u52F5,勵
1271,\u52F6,勶
1272,\u52F7,勷
1273,\u52F8,勸
1274,\u52F9,勹
1275,\u52FA,勺
1276,\u52FB,勻
